Hotel_ID,hotel_name,City,ADDRESS
096C24F8-0780-EF11-81A1-005056816226,ע.ב אירועים מלון גארדן חיפה בעמ,חיפה,קדושי יאסי 2
0F6C24F8-0780-EF11-81A1-005056816226,לונה ריזורט,מצפה רמון,הר ארדון 6
116C24F8-0780-EF11-81A1-005056816226,התפתחות מעלה צביה (עין הדרך),צביה,האלון 1
136C24F8-0780-EF11-81A1-005056816226,עלמה רוטשילד בע"מ - מלון עלמה,תל אביב - יפו,יבנה 23
156C24F8-0780-EF11-81A1-005056816226,אשדות בעמק,אשדות יעקב (איחוד),אשדות 1
176C24F8-0780-EF11-81A1-005056816226,ברי סטייז,תל אביב - יפו,הכרמל 40
1D6C24F8-0780-EF11-81A1-005056816226,כפר הנופש דור,דור,דור 1
1F6C24F8-0780-EF11-81A1-005056816226,טינקו בעמ מלון העונות,נתניה,שדרות ניצה 1
216C24F8-0780-EF11-81A1-005056816226,גפן פוריה,טבריה,דרך גדוד ברק 17
236C24F8-0780-EF11-81A1-005056816226,אחוזת המשי,טבריה,תלתן 1
256C24F8-0780-EF11-81A1-005056816226,קמפ סהרה בע"מ,קליה,חוף ביאנקיני 7
276C24F8-0780-EF11-81A1-005056816226,אתגרים ברמה בע"מ,אבני איתן,אבני איתן 17
296C24F8-0780-EF11-81A1-005056816226,מלון ליר סנס,גדרה,שכביץ 5
2B6C24F8-0780-EF11-81A1-005056816226,נירוונה סוויטס,אילת,סמטת שפיפון 9
2D6C24F8-0780-EF11-81A1-005056816226,מלכת שבא,אילת,אנטיב 8
2F6C24F8-0780-EF11-81A1-005056816226,אסטרל פאלמה,אילת,קאמן 11
316C24F8-0780-EF11-81A1-005056816226,אסטרל ויליג',אילת,קאמן 4
336C24F8-0780-EF11-81A1-005056816226,מאריס,אילת,דורבן 6
